                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17451,                    0.5,                      1,                0.06498,                 0.0937,                 0.0007,                 0.0007
                      1,                0.15686,                    0.5,                      1,                0.06503,                0.08647,              0.0014703,              0.0014703
                      2,                0.13429,                    0.5,                      1,                0.06529,               0.079209,              0.0022089,              0.0022089
                      3,                0.11851,                    0.5,                      1,                0.06605,               0.071916,              0.0029159,              0.0029159
                      4,                0.11599,                    0.5,                      1,                0.06726,               0.064591,              0.0035911,              0.0035911
                      5,                0.09014,                    0.5,                      1,                0.06769,               0.057235,              0.0042347,              0.0042347
                      6,                0.08716,                    0.5,                      1,                0.06519,               0.049847,              0.0048466,              0.0048466
                      7,                0.07448,                0.66667,                      1,                 0.0562,               0.042427,              0.0054268,              0.0054268
                      8,                0.07806,                0.66667,                      1,                0.04981,               0.034975,              0.0059754,              0.0059754
                      9,                0.04902,                0.83333,                      1,                0.04921,               0.027492,              0.0064922,              0.0064922
                     10,                0.03836,                0.83333,                      1,                0.04875,               0.019977,              0.0069774,              0.0069774
                     11,                0.02195,                0.83333,                      1,                0.04628,               0.012431,              0.0074309,              0.0074309
                     12,                0.01717,                0.83333,                      1,                0.04477,               0.007624,               0.007624,               0.007624
                     13,                0.00539,                0.83333,                      1,                0.04187,               0.007624,               0.007624,               0.007624
                     14,                0.00696,                0.83333,                      1,                0.04241,               0.007426,               0.007426,               0.007426
                     15,                0.00415,                0.83333,                      1,                  0.046,               0.007228,               0.007228,               0.007228
                     16,                0.00401,                0.66667,                      1,                0.05335,                0.00703,                0.00703,                0.00703
                     17,                0.01013,                0.83333,                      1,                0.04406,               0.006832,               0.006832,               0.006832
                     18,                0.03094,                0.83333,                      1,                0.04443,               0.006634,               0.006634,               0.006634
                     19,                 0.0177,                0.83333,                      1,                0.04686,               0.006436,               0.006436,               0.006436
                     20,                0.00409,                0.83333,                      1,                0.04766,               0.006238,               0.006238,               0.006238
                     21,                0.01883,                0.83333,                      1,                0.04979,                0.00604,                0.00604,                0.00604
                     22,                0.00253,                0.66667,                      1,                0.05269,               0.005842,               0.005842,               0.005842
                     23,                0.00311,                0.66667,                      1,                0.05565,               0.005644,               0.005644,               0.005644
                     24,                 0.0065,                0.83333,                      1,                0.04939,               0.005446,               0.005446,               0.005446
                     25,                0.00382,                0.83333,                      1,                0.04904,               0.005248,               0.005248,               0.005248
                     26,                 0.0099,                0.66667,                      1,                0.05168,                0.00505,                0.00505,                0.00505
                     27,                0.00144,                0.66667,                      1,                0.05184,               0.004852,               0.004852,               0.004852
                     28,                0.00058,                0.66667,                      1,                0.05191,               0.004654,               0.004654,               0.004654
                     29,                0.00284,                0.83333,                      1,                0.04865,               0.004456,               0.004456,               0.004456
                     30,                0.03227,                0.66667,                      1,                0.05791,               0.004258,               0.004258,               0.004258
                     31,                0.00177,                0.66667,                      1,                0.05601,                0.00406,                0.00406,                0.00406
                     32,                0.00137,                0.66667,                      1,                0.05202,               0.003862,               0.003862,               0.003862
                     33,                0.00097,                0.83333,                      1,                0.04924,               0.003664,               0.003664,               0.003664
                     34,                 0.0107,                0.83333,                      1,                0.04207,               0.003466,               0.003466,               0.003466
                     35,                0.01271,                      1,                      1,                0.03209,               0.003268,               0.003268,               0.003268
                     36,                0.00381,                0.83333,                      1,                0.03599,                0.00307,                0.00307,                0.00307
                     37,                 0.0047,                0.83333,                      1,                0.04059,               0.002872,               0.002872,               0.002872
                     38,                0.00109,                0.83333,                      1,                0.04321,               0.002674,               0.002674,               0.002674
                     39,                 0.0016,                0.83333,                      1,                0.04671,               0.002476,               0.002476,               0.002476
                     40,                0.00207,                0.83333,                      1,                0.04699,               0.002278,               0.002278,               0.002278
                     41,                 0.0031,                0.83333,                      1,                0.05173,                0.00208,                0.00208,                0.00208
                     42,                0.00113,                0.66667,                      1,                0.05461,               0.001882,               0.001882,               0.001882
                     43,                0.00159,                0.66667,                      1,                0.05473,               0.001684,               0.001684,               0.001684
                     44,                 0.0016,                    0.5,                      1,                0.05487,               0.001486,               0.001486,               0.001486
                     45,                0.00209,                0.66667,                      1,                0.05249,               0.001288,               0.001288,               0.001288
                     46,                0.00127,                    0.5,                      1,                0.05188,                0.00109,                0.00109,                0.00109
                     47,                0.00065,                    0.5,                      1,                0.05313,               0.000892,               0.000892,               0.000892
                     48,                0.00278,                    0.5,                      1,                0.05223,               0.000694,               0.000694,               0.000694
                     49,                0.00066,                    0.5,                      1,                0.05612,               0.000496,               0.000496,               0.000496
