                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15648,                    0.5,                      1,                0.06498,                 0.0937,                 0.0007,                 0.0007
                      1,                 0.1412,                    0.5,                      1,                0.06502,               0.086493,              0.0014926,              0.0014926
                      2,                0.11942,                    0.5,                      1,                0.06526,               0.079277,              0.0022772,              0.0022772
                      3,                0.12284,                    0.5,                      1,                0.06595,               0.072054,               0.003054,               0.003054
                      4,                0.10587,                    0.5,                      1,                0.06706,               0.064823,              0.0038228,              0.0038228
                      5,                 0.0835,                    0.5,                      1,                0.06776,               0.057584,              0.0045837,              0.0045837
                      6,                0.07621,                    0.5,                      1,                 0.0661,               0.050337,              0.0053367,              0.0053367
                      7,                 0.0583,                0.66667,                      1,                0.06249,               0.043082,              0.0060817,              0.0060817
                      8,                0.05103,                0.66667,                      1,                0.05859,               0.035819,              0.0068188,              0.0068188
                      9,                0.02754,                0.66667,                      1,                0.05884,               0.028548,              0.0075481,              0.0075481
                     10,                0.01548,                0.66667,                      1,                0.05986,               0.021269,              0.0082693,              0.0082693
                     11,                 0.0177,                0.66667,                      1,                0.05982,               0.013983,              0.0089827,              0.0089827
                     12,                0.01709,                0.66667,                      1,                0.06021,               0.009406,               0.009406,               0.009406
                     13,                0.00677,                0.66667,                      1,                0.06012,               0.009406,               0.009406,               0.009406
                     14,                0.00729,                0.66667,                      1,                0.05984,              0.0093565,              0.0093565,              0.0093565
                     15,                0.01148,                0.66667,                      1,                 0.0601,               0.009307,               0.009307,               0.009307
                     16,                0.00768,                0.66667,                      1,                0.06045,              0.0092575,              0.0092575,              0.0092575
                     17,                0.00567,                0.66667,                      1,                0.06056,               0.009208,               0.009208,               0.009208
                     18,                0.01077,                0.66667,                      1,                0.06054,              0.0091585,              0.0091585,              0.0091585
                     19,                0.01584,                0.66667,                      1,                0.06607,               0.009109,               0.009109,               0.009109
                     20,                0.00824,                0.66667,                      1,                0.06013,              0.0090595,              0.0090595,              0.0090595
                     21,                0.00437,                0.66667,                      1,                 0.0599,                0.00901,                0.00901,                0.00901
                     22,                0.01252,                0.66667,                      1,                0.05968,              0.0089605,              0.0089605,              0.0089605
                     23,                0.00278,                0.66667,                      1,                0.05826,               0.008911,               0.008911,               0.008911
                     24,                0.01728,                0.66667,                      1,                0.05506,              0.0088615,              0.0088615,              0.0088615
                     25,                0.01063,                0.66667,                      1,                0.05346,               0.008812,               0.008812,               0.008812
                     26,                0.01034,                0.66667,                      1,                0.05273,              0.0087625,              0.0087625,              0.0087625
                     27,                0.00266,                0.66667,                      1,                0.05931,               0.008713,               0.008713,               0.008713
                     28,                0.00194,                0.66667,                      1,                0.05933,              0.0086635,              0.0086635,              0.0086635
                     29,                0.00214,                0.66667,                      1,                0.05986,               0.008614,               0.008614,               0.008614
